index,incident id,date,state,county_city,address,# killed,# injured,operations,city,state_id,state_name,county,lat,lng
10723,2203909,2022-01-01,Texas,Houston,3322 Yellowstone Blvd,0,1,,Houston,TX,Texas,Harris,29.786,-95.3885
6150,2204129,2022-01-01,Texas,Laredo,4500 block of Emma Ln,0,1,,Laredo,TX,Texas,Webb,27.5625,-99.4874
6141,2204583,2022-01-05,Texas,Granbury,735 W US Hwy 377,0,2,,Granbury,TX,Texas,Hood,32.4475,-97.7702
6142,2204598,2022-01-05,Texas,San Antonio,4611 E Houston St,0,1,,San Antonio,TX,Texas,Bexar,29.4632,-98.5238
3314,2204803,2022-01-01,Texas,Mcallen,,1,0,,,,,Hidalgo,,
6123,2208321,2022-01-10,Texas,Lubbock,7007 University Ave,0,1,,Lubbock,TX,Texas,Lubbock,33.5657,-101.8879
17617,2208945,2022-01-11,Texas,Dallas,3200 block of Reynolds Ave,1,0,,Dallas,TX,Texas,Dallas,32.7935,-96.7667
17616,2209521,2022-01-11,Texas,Houston,Markwood Ln and Park Manor St,1,0,,Houston,TX,Texas,Harris,29.786,-95.3885
17608,2210422,2022-01-13,Texas,Lubbock,4909 9th St,1,0,,Lubbock,TX,Texas,Lubbock,33.5657,-101.8879
17604,2211916,2022-01-15,Texas,Harris (county),,1,0,,,,,Harris,29.786,-95.3885
6113,2211998,2022-01-15,Texas,Houston,3600 Crandon St,1,1,,Houston,TX,Texas,Harris,29.786,-95.3885
17603,2212106,2022-01-15,Texas,Fort Worth,700 block of Ravine Rd,1,0,,Fort Worth,TX,Texas,Tarrant,32.7817,-97.3474
10693,2213707,2022-01-17,Texas,Houston,5900 Selinsky Rd,0,3,,Houston,TX,Texas,Harris,29.786,-95.3885
17602,2214075,2022-01-15,Texas,Wilsey,US-60 and CR 5,2,0,,,,,Parmer,,
17587,2214963,2022-01-18,Texas,Crosby,4509 Wolcek Rd,3,0,,Crosby,TX,Texas,Harris,29.9146,-95.0591
17583,2215132,2022-01-18,Texas,Diboll,1000 block of Cypress,1,0,,Diboll,TX,Texas,Angelina,31.1873,-94.7833
17584,2215330,2022-01-18,Texas,Houston,4701 Anderson Rd,1,0,,Houston,TX,Texas,Harris,29.786,-95.3885
12277,2215351,2022-01-16,Texas,Del Rio,400 block of San Juan St,1,0,,Del Rio,TX,Texas,Val Verde,29.3708,-100.8801
17596,2215844,2022-01-16,Texas,Bovina,US-60,2,0,,Bovina,TX,Texas,Parmer,34.5156,-102.8848
10687,2216245,2022-01-19,Texas,San Antonio,200 block of Moraima St,0,2,,San Antonio,TX,Texas,Bexar,29.4632,-98.5238
17578,2218235,2022-01-22,Texas,Mesquite,2800 block of Clay Mathis Rd,1,0,,Mesquite,TX,Texas,Dallas,32.7602,-96.5865
17571,2219415,2022-01-24,Texas,North Richland Hills,5100 block of Gibbons Dr,2,0,,North Richland Hills,TX,Texas,Tarrant,32.8604,-97.218
6085,2220254,2022-01-26,Texas,Houston,8800 block of Katy Fwy,0,1,,Houston,TX,Texas,Harris,29.786,-95.3885
12269,2222923,2022-01-29,Texas,Eustace,Co Rd 2911,1,0,,Eustace,TX,Texas,Henderson,32.3076,-96.0138
133,2223090,2022-01-30,Texas,San Antonio,3536 West Ave,0,1,,San Antonio,TX,Texas,Bexar,29.4632,-98.5238
10665,2223096,2022-01-30,Texas,Houston,10555 Fondren Rd,0,1,,Houston,TX,Texas,Harris,29.786,-95.3885
17549,2223593,2022-01-30,Texas,Waco,1000 block of Walker St,2,0,,Waco,TX,Texas,McLennan,31.5599,-97.1882
6072,2224558,2022-01-31,Texas,Fort Worth,4425 E Lancaster Ave,0,1,,Fort Worth,TX,Texas,Tarrant,32.7817,-97.3474
3275,2226204,2022-02-03,Texas,San Antonio,1514 Upland Rd,1,0,,San Antonio,TX,Texas,Bexar,29.4632,-98.5238
