"Incident_Id","Incident Date","city-county","killed","injured"
2201738,"2022-01-01","Houston",1,2
2201883,"2022-01-01","Wichita Falls",0,2
2202045,"2022-01-01","San Antonio",0,1
2202727,"2022-01-02","San Antonio",2,2
2202797,"2022-01-02","College Station",0,3
2202805,"2022-01-01","Lubbock",1,0
2202968,"2022-01-02","Fort Worth",1,0
2202976,"2022-01-02","Corsicana",2,2
2203162,"2022-01-01","Beaumont",1,0
2203186,"2022-01-01","Mission",0,1
2203262,"2022-01-03","San Antonio",0,2
2203272,"2022-01-03","San Antonio",1,0
2203291,"2022-01-01","Poteet",1,0
2203300,"2022-01-02","San Antonio",0,1
2203317,"2022-01-03","Houston",0,1
2203319,"2022-01-03","Houston",0,1
2203321,"2022-01-03","Houston",0,1
2203325,"2022-01-03","Hearne",0,1
2203886,"2022-01-03","Baytown",0,2
2203901,"2022-01-03","Houston",1,0
2203909,"2022-01-01","Houston",0,1
2203916,"2022-01-03","Beaumont",0,1
2203926,"2022-01-03","Mission",1,0
2204022,"2022-01-01","Arlington",0,1
2204063,"2022-01-02","Houston",0,1
2204069,"2022-01-01","Houston",0,1
2204089,"2022-01-01","Houston",0,3
2204108,"2022-01-03","Houston",1,1
2204129,"2022-01-01","Laredo",0,1
2204139,"2022-01-04","San Antonio",0,1
2204153,"2022-01-04","San Antonio",0,1
2204167,"2022-01-03","Killeen",0,2
2204559,"2022-01-04","Tulia",1,0
2204567,"2022-01-04","Houston",1,0
2204583,"2022-01-05","Granbury",0,2
2204598,"2022-01-05","San Antonio",0,1
2204614,"2022-01-04","Dallas",1,0
2204631,"2022-01-03","Fort Worth",0,1
2204647,"2022-01-05","Houston",0,2
2204677,"2022-01-04","Houston",0,1
2204698,"2022-01-04","Lubbock",0,1
2204703,"2022-01-03","Lufkin",0,1
2204719,"2022-01-04","San Antonio",0,1
2204803,"2022-01-01","Mcallen",1,0
2205030,"2022-01-05","Houston",1,1
2205051,"2022-01-05","Victoria",1,0
2205411,"2022-01-05","Houston (Jersey Village)",0,1
2205419,"2022-01-05","Dallas",1,0
2205468,"2022-01-05","Austin",1,0
2205478,"2022-01-06","Killeen",1,0
2205526,"2022-01-04","Crowley",0,2
2205576,"2022-01-05","Houston",2,0
2205585,"2022-01-05","Houston",0,1
2205587,"2022-01-05","Houston",0,1
2205629,"2022-01-06","San Antonio",0,1
2205641,"2022-01-06","Houston",0,1
2205649,"2022-01-03","Greenville",1,1
2206291,"2022-01-06","Midlothian",3,0
2206308,"2022-01-06","Fort Worth",0,1
2206409,"2022-01-07","Houston",0,0
2206411,"2022-01-07","Tomball",2,0
2206422,"2022-01-06","Hitchcock",1,0
2206440,"2022-01-06","San Antonio",0,1
2206644,"2022-01-07","Clute",1,0
2206658,"2022-01-07","Arlington",2,0
2206679,"2022-01-06","Houston",0,1
2206682,"2022-01-06","Houston",0,1
2206813,"2022-01-08","Houston",1,3
2206817,"2022-01-08","Houston",0,2
2206820,"2022-01-08","Houston",1,0
2207031,"2022-01-08","Houston",1,0
2207047,"2022-01-08","San Antonio",0,1
2207390,"2022-01-09","Arlington",1,1
2207396,"2022-01-09","Houston",1,1
2207413,"2022-01-08","Baytown",0,1
2207418,"2022-01-08","Navasota",1,0
2207495,"2022-01-08","Allen",1,0
2207508,"2022-01-09","El Paso",0,1
2207540,"2022-01-08","Fort Worth",0,1
2207550,"2022-01-07","Fort Worth",0,1
2207567,"2022-01-08","Fort Worth",1,0
2207862,"2022-01-09","San Antonio",1,0
2207867,"2022-01-09","San Antonio",0,1
2207909,"2022-01-09","Houston",0,1
2207912,"2022-01-09","Houston",0,1
2208310,"2022-01-08","Dallas",1,0
2208312,"2022-01-09","Waco",0,1
2208321,"2022-01-10","Lubbock",0,1
2208329,"2022-01-09","Amarillo",0,1
2208338,"2022-01-09","Del Valle",1,0
2208403,"2022-01-09","Houston",0,1
2208455,"2022-01-10","San Antonio",0,1
2208934,"2022-01-11","Houston",0,2
2208945,"2022-01-11","Dallas",1,0
2208952,"2022-01-11","San Antonio",0,1
2208958,"2022-01-10","El Paso",0,1
2208960,"2022-01-10","Houston",1,1
2208969,"2022-01-11","Lubbock",1,0
2208972,"2022-01-11","Lubbock",0,1
2208977,"2022-01-07","Baytown",0,2
2209069,"2022-01-11","Keene",1,3
2209079,"2022-01-11","Dallas",0,1
2209084,"2022-01-10","Arlington",0,1
2209114,"2022-01-10","Arlington",0,0
2209115,"2022-01-09","Fort Worth",0,1
2209121,"2022-01-10","Fort Worth",0,1
2209138,"2022-01-10","Houston",0,1
2209159,"2022-01-08","Odessa",1,0
2209247,"2022-01-10","Sherman",0,0
2209521,"2022-01-11","Houston",1,0
2209558,"2022-01-11","Dallas",1,0
2209576,"2022-01-11","Arlington",0,1
2209613,"2022-01-11","Houston",0,1
2209638,"2022-01-12","San Antonio",0,1
2209651,"2022-01-09","Dickinson (San Leon)",1,0
2210180,"2022-01-12","Houston",0,1
2210193,"2022-01-12","Dallas",1,0
2210422,"2022-01-13","Lubbock",1,0
2210424,"2022-01-12","Dallas",1,0
2210427,"2022-01-12","Port Arthur",0,1
2210435,"2022-01-12","Donna",1,2
2210442,"2022-01-12","Lake Jackson",1,0
