"city","state_id","state_name","county_fips","county_name","lat","lng"
"Dallas","TX","Texas",48113,"Dallas",32.7935,-96.7667
"Houston","TX","Texas",48201,"Harris",29.786,-95.3885
"San Antonio","TX","Texas",48029,"Bexar",29.4632,-98.5238
"Austin","TX","Texas",48453,"Travis",30.3005,-97.7522
"Fort Worth","TX","Texas",48439,"Tarrant",32.7817,-97.3474
"McAllen","TX","Texas",48215,"Hidalgo",26.2252,-98.2467
"El Paso","TX","Texas",48141,"El Paso",31.8476,-106.43
"Denton","TX","Texas",48121,"Denton",33.2175,-97.1418
"Arlington","TX","Texas",48439,"Tarrant",32.6998,-97.125
"Corpus Christi","TX","Texas",48355,"Nueces",27.7254,-97.3767
"The Woodlands","TX","Texas",48339,"Montgomery",30.1738,-95.5134
"Plano","TX","Texas",48085,"Collin",33.0502,-96.7486
"Lubbock","TX","Texas",48303,"Lubbock",33.5657,-101.8879
"Laredo","TX","Texas",48479,"Webb",27.5625,-99.4874
"Irving","TX","Texas",48113,"Dallas",32.8583,-96.9702
"McKinney","TX","Texas",48085,"Collin",33.2016,-96.667
"Garland","TX","Texas",48113,"Dallas",32.91,-96.6304
"Killeen","TX","Texas",48027,"Bell",31.0753,-97.7297
"Brownsville","TX","Texas",48061,"Cameron",25.9975,-97.458
"College Station","TX","Texas",48041,"Brazos",30.5852,-96.2959
"Amarillo","TX","Texas",48375,"Potter",35.1984,-101.8316
"Grand Prairie","TX","Texas",48113,"Dallas",32.6871,-97.0208
"Frisco","TX","Texas",48085,"Collin",33.156,-96.8216
"Waco","TX","Texas",48309,"McLennan",31.5599,-97.1882
"Port Arthur","TX","Texas",48245,"Jefferson",29.8554,-93.9264
"Pasadena","TX","Texas",48201,"Harris",29.6575,-95.1498
"Mesquite","TX","Texas",48113,"Dallas",32.7602,-96.5865
"Harlingen","TX","Texas",48061,"Cameron",26.1916,-97.6977
"Tyler","TX","Texas",48423,"Smith",32.3184,-95.3062
"Beaumont","TX","Texas",48245,"Jefferson",30.0849,-94.1451
"Odessa","TX","Texas",48135,"Ector",31.8801,-102.3448
"Carrollton","TX","Texas",48113,"Dallas",32.989,-96.8999
"Midland","TX","Texas",48329,"Midland",32.0243,-102.1147
"Abilene","TX","Texas",48441,"Taylor",32.4543,-99.7384
"Pearland","TX","Texas",48039,"Brazoria",29.5581,-95.3218
"Texas City","TX","Texas",48167,"Galveston",29.4154,-94.9682
"Round Rock","TX","Texas",48491,"Williamson",30.527,-97.6642
"Richardson","TX","Texas",48113,"Dallas",32.9716,-96.7093
"Temple","TX","Texas",48027,"Bell",31.1068,-97.3891
"League City","TX","Texas",48167,"Galveston",29.4874,-95.1087
"Sugar Land","TX","Texas",48157,"Fort Bend",29.5935,-95.6358
"Lewisville","TX","Texas",48121,"Denton",33.0454,-96.9815
"Allen","TX","Texas",48085,"Collin",33.1088,-96.6735
"Wichita Falls","TX","Texas",48485,"Wichita",33.9072,-98.5291
"San Angelo","TX","Texas",48451,"Tom Green",31.4424,-100.4504
"Edinburg","TX","Texas",48215,"Hidalgo",26.3196,-98.1597
"Longview","TX","Texas",48183,"Gregg",32.5193,-94.7622
"Conroe","TX","Texas",48339,"Montgomery",30.3238,-95.4824
"New Braunfels","TX","Texas",48091,"Comal",29.6994,-98.1148
"Mission","TX","Texas",48215,"Hidalgo",26.2039,-98.3256
"Bryan","TX","Texas",48041,"Brazos",30.665,-96.3807
"Atascocita","TX","Texas",48201,"Harris",29.9777,-95.1953
"Baytown","TX","Texas",48201,"Harris",29.7587,-94.9671
"Texarkana","TX","Texas",48037,"Bowie",33.45,-94.0847
"Pharr","TX","Texas",48215,"Hidalgo",26.1685,-98.1904
"Flower Mound","TX","Texas",48121,"Denton",33.0343,-97.1146
"Cedar Park","TX","Texas",48491,"Williamson",30.5105,-97.8197
"Missouri City","TX","Texas",48157,"Fort Bend",29.563,-95.5365
"Lake Jackson","TX","Texas",48039,"Brazoria",29.0516,-95.4521
"Mansfield","TX","Texas",48439,"Tarrant",32.569,-97.1213
"San Marcos","TX","Texas",48209,"Hays",29.8734,-97.9356
"North Richland Hills","TX","Texas",48439,"Tarrant",32.8604,-97.218
"Sherman","TX","Texas",48181,"Grayson",33.6273,-96.6221
"Georgetown","TX","Texas",48491,"Williamson",30.666,-97.6966
"Victoria","TX","Texas",48469,"Victoria",28.8287,-96.9849
"Pflugerville","TX","Texas",48453,"Travis",30.4515,-97.6018
"Rowlett","TX","Texas",48113,"Dallas",32.9155,-96.5489
"Spring","TX","Texas",48201,"Harris",30.0613,-95.383
"Euless","TX","Texas",48439,"Tarrant",32.8508,-97.08
"Leander","TX","Texas",48491,"Williamson",30.5728,-97.8618
"DeSoto","TX","Texas",48113,"Dallas",32.5992,-96.8633
"Wylie","TX","Texas",48085,"Collin",33.0362,-96.5161
"Galveston","TX","Texas",48167,"Galveston",29.2484,-94.8913
"Grapevine","TX","Texas",48439,"Tarrant",32.9343,-97.0742
"Bedford","TX","Texas",48439,"Tarrant",32.8464,-97.135
"Cedar Hill","TX","Texas",48113,"Dallas",32.581,-96.9591
"Burleson","TX","Texas",48251,"Johnson",32.517,-97.3344
"Rockwall","TX","Texas",48397,"Rockwall",32.9169,-96.4374
"Haltom City","TX","Texas",48439,"Tarrant",32.8176,-97.2707
"Huntsville","TX","Texas",48471,"Walker",30.7009,-95.5567
"Keller","TX","Texas",48439,"Tarrant",32.9335,-97.2256
"Kyle","TX","Texas",48209,"Hays",29.9932,-97.8852
"Little Elm","TX","Texas",48121,"Denton",33.1858,-96.9295
"The Colony","TX","Texas",48121,"Denton",33.0925,-96.8976
"Coppell","TX","Texas",48113,"Dallas",32.9639,-96.9903
"Channelview","TX","Texas",48201,"Harris",29.7914,-95.1144
"Schertz","TX","Texas",48029,"Bexar",29.565,-98.2535
"Lancaster","TX","Texas",48113,"Dallas",32.5922,-96.7739
"Friendswood","TX","Texas",48167,"Galveston",29.511,-95.1981
"Duncanville","TX","Texas",48113,"Dallas",32.646,-96.9127
"Weslaco","TX","Texas",48215,"Hidalgo",26.1599,-97.9877
"Hurst","TX","Texas",48439,"Tarrant",32.8353,-97.1809
"Waxahachie","TX","Texas",48139,"Ellis",32.4035,-96.8446
"Mission Bend","TX","Texas",48157,"Fort Bend",29.6948,-95.6658
"Rosenberg","TX","Texas",48157,"Fort Bend",29.5456,-95.8223
"Farmers Branch","TX","Texas",48113,"Dallas",32.9272,-96.8804
"La Porte","TX","Texas",48201,"Harris",29.6689,-95.0484
"Copperas Cove","TX","Texas",48099,"Coryell",31.1192,-97.914
"San Juan","TX","Texas",48215,"Hidalgo",26.1903,-98.152
"Del Rio","TX","Texas",48465,"Val Verde",29.3708,-100.8801
"Socorro","TX","Texas",48141,"El Paso",31.6383,-106.2601
"Lufkin","TX","Texas",48005,"Angelina",31.3217,-94.7277
"Deer Park","TX","Texas",48201,"Harris",29.6898,-95.1151
"Midlothian","TX","Texas",48139,"Ellis",32.4669,-96.989
"Timberwood Park","TX","Texas",48029,"Bexar",29.6995,-98.4838
"Nacogdoches","TX","Texas",48347,"Nacogdoches",31.6134,-94.6528
"Harker Heights","TX","Texas",48027,"Bell",31.0572,-97.6446
"West Odessa","TX","Texas",48135,"Ector",31.8389,-102.5003
"Cibolo","TX","Texas",48187,"Guadalupe",29.5634,-98.2115
"Cleburne","TX","Texas",48251,"Johnson",32.3568,-97.4151
"Southlake","TX","Texas",48439,"Tarrant",32.9545,-97.1503
"Canyon Lake","TX","Texas",48091,"Comal",29.8761,-98.2611
"Weatherford","TX","Texas",48367,"Parker",32.7536,-97.7723
"Seguin","TX","Texas",48187,"Guadalupe",29.5891,-97.9676
